0x004022c0:0x004022f5, _GLOBAL__sub_I_userio.cpp
0x00402300:0x0040232a, _start
0x00402330:0x00402362, deregister_tm_clones
0x00402370:0x004023aa, register_tm_clones
0x004023b0:0x004023cc, __do_global_dtors_aux
0x004023d0:0x004023f6, frame_dummy
0x00402400:0x00402401, _ZN3pov26Initialize_Atmosphere_CodeEv
0x00402410:0x00402411, _ZN3pov28Deinitialize_Atmosphere_CodeEv
0x00402420:0x004026a5, _ZN3pov22Do_Infinite_AtmosphereEPNS_10Ray_StructEPf
0x004026b0:0x0040319f, _ZN3pov20Do_Finite_AtmosphereEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x004031a0:0x00403201, _ZN3pov10Create_FogEv
0x00403210:0x004032b7, _ZN3pov8Copy_FogEPNS_10Fog_StructE
0x004032c0:0x004032fe, _ZN3pov11Destroy_FogEPNS_10Fog_StructE
0x00403300:0x00403381, _ZN3pov14Create_RainbowEv
0x00403390:0x00403447, _ZN3pov12Copy_RainbowEPNS_14Rainbow_StructE
0x00403450:0x0040347a, _ZN3pov15Destroy_RainbowEPNS_14Rainbow_StructE
0x00403480:0x004034b9, _ZN3pov16Create_SkysphereEv
0x004034c0:0x0040357a, _ZN3pov14Copy_SkysphereEPNS_16Skysphere_StructE
0x00403580:0x004035fa, _ZN3pov17Destroy_SkysphereEPNS_16Skysphere_StructE
0x00403600:0x00403639, _ZN3pov16Rotate_SkysphereEPNS_16Skysphere_StructEPd
0x00403640:0x0040366e, _ZN3pov19Transform_SkysphereEPNS_16Skysphere_StructEPNS_16Transform_StructE
0x00403670:0x004036a9, _ZN3pov15Scale_SkysphereEPNS_16Skysphere_StructEPd
0x004036b0:0x004036e9, _ZN3pov19Translate_SkysphereEPNS_16Skysphere_StructEPd
0x004036f0:0x00403740, _ZN3pov20Initialize_BBox_CodeEv
0x00403740:0x00403792, _ZN3pov21Create_Priority_QueueEj
0x004037a0:0x004037e7, _ZN3pov22Deinitialize_BBox_CodeEv
0x004037f0:0x00403829, _ZN3pov22Destroy_Priority_QueueEPNS_21Priority_Queue_StructE
0x00403830:0x004038aa, _ZN3pov17Destroy_BBox_TreeEPNS_16BBox_Tree_StructE
0x004038b0:0x00403a5d, _ZN3pov14Recompute_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00403a60:0x00403c0d, _ZN3pov22Recompute_Inverse_BBoxEPNS_19Bounding_Box_StructEPNS_16Transform_StructE
0x00403c10:0x00404080, _ZN3pov15Build_BBox_TreeEPPNS_16BBox_Tree_StructElRS2_lS2_
0x00404080:0x00404836, _ZN3povL14sort_and_splitEPPNS_16BBox_Tree_StructERS2_Plll
0x00404840:0x00404b88, _ZN3pov20Build_Bounding_SlabsEPPNS_16BBox_Tree_StructE
0x00404b90:0x00404baf, _ZN3pov22Destroy_Bounding_SlabsEv
0x00404bb0:0x00404f66, _ZN3pov19Intersect_BBox_TreeEPNS_16BBox_Tree_StructEPNS_10Ray_StructEPNS_10istk_entryEPPNS_13Object_StructEb
0x00404f70:0x00405050, _ZN3pov14Create_RayinfoEPNS_10Ray_StructEPNS_14Rayinfo_StructE
0x00405050:0x004053b7, _ZN3pov17Check_And_EnqueueEPNS_21Priority_Queue_StructEPNS_16BBox_Tree_StructEPNS_19Bounding_Box_StructEPNS_14Rayinfo_StructE
0x004053c0:0x004054a9, _ZN3pov21Priority_Queue_DeleteEPNS_21Priority_Queue_StructEPdPPNS_16BBox_Tree_StructE
0x004054b0:0x0040550a, _ZN3povL9compboxesEPKvS1_
0x00405510:0x00405e3c, _ZN3pov14Intersect_BCylEPNS_11BCyl_StructEPdS2_
0x00405e40:0x00406747, _ZN3pov11Create_BCylEiPdS0_S0_S0_
0x00406750:0x00406809, _ZN3pov12Destroy_BCylEPNS_11BCyl_StructE
0x00406810:0x00406880, _ZN3pov20Write_Benchmark_FileEPKcS1_
0x00406880:0x00406886, _ZN3pov21Get_Benchmark_VersionEv
0x00406890:0x00406b53, _ZN3pov23Precompute_Patch_ValuesEPNS_20Bicubic_Patch_StructE
0x00406b60:0x00406bec, _ZN3povL19bezier_tree_deleterEPNS_18Bezier_Node_StructE
0x00406bf0:0x00407010, _ZN3povL19bezier_tree_builderEPNS_20Bicubic_Patch_StructEPA4_A4_A3_dddddiRi
0x00407010:0x004070da, _ZN3pov20Create_Bicubic_PatchEv
0x004070e0:0x0040726b, _ZN3pov26Compute_Bicubic_Patch_BBoxEPNS_20Bicubic_Patch_StructE
0x00407270:0x0040748c, _ZN3povL22bezier_bounding_sphereEPA4_A4_A3_dPdS4_
0x00407490:0x00407d89, _ZN3povL11flat_enoughEPNS_20Bicubic_Patch_StructEPA4_A4_A3_d
0x00407d90:0x00407f99, _ZN3povL20bezier_split_up_downEPA4_A4_A3_dS3_S3_
0x00407fa0:0x00408197, _ZN3povL23bezier_split_left_rightEPA4_A4_A3_dS3_S3_
0x004081a0:0x00408228, _ZN3povL31All_Bicubic_Patch_IntersectionsEPNS_13Object_StructEPNS_10Ray_StructEPNS_13istack_structE
0x00408230:0x00408233, _ZN3povL20Inside_Bicubic_PatchEPdPNS_13Object_StructE
0x00408240:0x00408258, _ZN3povL20Bicubic_Patch_NormalEPdPNS_13Object_StructEPNS_10istk_entryE
0x00408260:0x00408270, _ZN3povL21Bicubic_Patch_UVCoordEPdPNS_13Object_StructEPNS_10istk_entryE
0x00408270:0x00408566, _ZN3povL18Copy_Bicubic_PatchEPNS_13Object_StructE
0x00408570:0x004086ab, _ZN3povL23Translate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004086b0:0x004086b8, _ZN3povL20Rotate_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x004086c0:0x004087fb, _ZN3povL19Scale_Bicubic_PatchEPNS_13Object_StructEPdPNS_16Transform_StructE
0x00408800:0x00408941, _ZN3povL23Transform_Bicubic_PatchEPNS_13Object_StructEPNS_16Transform_StructE
0x00408950:0x00408951, _ZN3povL20Invert_Bicubic_PatchEPNS_13Object_StructE
0x00408960:0x004089b4, _ZN3povL21Destroy_Bicubic_PatchEPNS_13Object_StructE
0x004089c0:0x00408e01, _ZN3povL18bezier_tree_walkerEPNS_10Ray_StructEPNS_20Bicubic_Patch_StructEPNS_18Bezier_Node_StructEPNS_13istack_structE
