0x00401580:0x004015aa, _start
0x004015b0:0x004015e2, deregister_tm_clones
0x004015f0:0x0040162a, register_tm_clones
0x00401630:0x0040164c, __do_global_dtors_aux
0x00401650:0x00401676, frame_dummy
0x00401680:0x004017b9, x264_plane_copy_c
0x004017c0:0x00401afa, x264_frame_init_lowres
0x00401b00:0x00401c8f, x264_mc_init
0x00401c90:0x004029c8, mc_luma
0x004029d0:0x00403578, get_ref
0x00403580:0x00403844, mc_chroma
0x00403850:0x004039e5, pixel_avg_16x16
0x004039f0:0x00403b85, pixel_avg_16x8
0x00403b90:0x00403c85, pixel_avg_8x16
0x00403c90:0x00403d85, pixel_avg_8x8
0x00403d90:0x00403e85, pixel_avg_8x4
0x00403e90:0x00404013, pixel_avg_4x8
0x00404020:0x004042b3, pixel_avg_4x4
0x004042c0:0x00404501, pixel_avg_4x2
0x00404510:0x00404799, pixel_avg_2x4
0x004047a0:0x004048ce, pixel_avg_2x2
0x004048d0:0x004048dc, x264_weight_cache
0x004048e0:0x004049b5, mc_copy_w16
0x004049c0:0x00404a83, mc_copy_w8
0x00404a90:0x00404b41, mc_copy_w4
0x00404b50:0x00404fd5, hpel_filter
0x00404fe0:0x00404fe1, prefetch_fenc_null
0x00404ff0:0x00404ff1, prefetch_ref_null
0x00405000:0x0040500a, memzero_aligned
0x00405010:0x0040516c, frame_init_lowres_core
0x00405170:0x00405227, integral_init4h
0x00405230:0x004052f7, integral_init8h
0x00405300:0x00405722, integral_init4v
0x00405730:0x004058b1, integral_init8v
0x004058c0:0x00405927, mbtree_propagate_cost
0x00405930:0x00405bcf, x264_frame_filter
0x00405bd0:0x00405f18, pixel_avg_weight_wxh
0x00405f20:0x0040602e, mc_weight_w2
0x00406030:0x004061f4, mc_weight_w4
0x00406200:0x00406518, mc_weight_w8
0x00406520:0x0040675f, mc_weight_w12
0x00406760:0x00406c78, mc_weight_w16
0x00406c80:0x00407238, mc_weight_w20
0x00407240:0x00407296, x264_predict_16x16_init
0x004072a0:0x00407319, predict_16x16_v
0x00407320:0x004074e5, predict_16x16_h
0x004074f0:0x00407659, predict_16x16_dc
0x00407660:0x00407cbf, predict_16x16_p
0x00407cc0:0x00407dc9, predict_16x16_dc_left
0x00407dd0:0x00407eb8, predict_16x16_dc_top
0x00407ec0:0x00407f3c, predict_16x16_dc_128
0x00407f40:0x00407f96, x264_predict_8x8c_init
0x00407fa0:0x00407fee, predict_8x8c_v
0x00407ff0:0x00408091, predict_8x8c_h
0x004080a0:0x00408196, predict_8x8c_dc
0x004081a0:0x00408516, predict_8x8c_p
0x00408520:0x004085b7, predict_8x8c_dc_left
0x004085c0:0x0040864e, predict_8x8c_dc_top
0x00408650:0x00408686, predict_8x8c_dc_128
0x00408690:0x0040874b, x264_predict_8x8_init
0x00408750:0x00408780, predict_8x8_v
0x00408780:0x00408820, predict_8x8_h
0x00408820:0x004088d3, predict_8x8_dc
0x004088e0:0x00408b42, predict_8x8_ddl
0x00408b50:0x00408da5, predict_8x8_ddr
0x00408db0:0x00409049, predict_8x8_vr
0x00409050:0x004092d4, predict_8x8_hd
0x004092e0:0x00409544, predict_8x8_vl
0x00409550:0x004096cd, predict_8x8_hu
0x004096d0:0x00409753, predict_8x8_dc_left
0x00409760:0x004097e3, predict_8x8_dc_top
0x004097f0:0x00409826, predict_8x8_dc_128
0x00409830:0x00409b8d, predict_8x8_filter
0x00409b90:0x00409c44, x264_predict_4x4_init
0x00409c50:0x00409c5f, predict_4x4_v
0x00409c60:0x00409c94, predict_4x4_h
0x00409ca0:0x00409ce7, predict_4x4_dc
0x00409cf0:0x00409da0, predict_4x4_ddl
0x00409da0:0x00409e52, predict_4x4_ddr
0x00409e60:0x00409f25, predict_4x4_vr
0x00409f30:0x00409ff7, predict_4x4_hd
0x0040a000:0x0040a0bb, predict_4x4_vl
0x0040a0c0:0x0040a13b, predict_4x4_hu
0x0040a140:0x0040a16f, predict_4x4_dc_left
0x0040a170:0x0040a19f, predict_4x4_dc_top
0x0040a1a0:0x0040a1bc, predict_4x4_dc_128
0x0040a1c0:0x0040a808, x264_pixel_ssd_wxh
0x0040a810:0x0040aa9b, x264_pixel_ssim_wxh
0x0040aaa0:0x0040ae5d, x264_pixel_init
0x0040ae60:0x0040ae93, x264_pixel_sad_16x16
0x0040aea0:0x0040af99, x264_pixel_sad_16x8
0x0040afa0:0x0040afce, x264_pixel_sad_8x16
