0x00400ba0:0x00400bca, _start
0x00400bd0:0x00400c02, deregister_tm_clones
0x00400c10:0x00400c4a, register_tm_clones
0x00400c50:0x00400c6c, __do_global_dtors_aux
0x00400c70:0x00400c96, frame_dummy
0x00400ca0:0x00400ee0, _Z11is_attackedP7state_tii
0x00400ee0:0x00400f06, _Z8in_checkP7state_t
0x00400f10:0x00401050, _Z10attacks_toP7state_ti
0x00401050:0x004010b0, _Z13PrintBitboardy
0x004010b0:0x00401120, _Z17PrintRotBitboardsP7state_t
0x00401120:0x0040160e, _Z17PrintAllBitboardsP7state_t
0x00401610:0x00403166, _Z22SetupPrecalculatedDatav
0x00403170:0x00403225, _Z16SetupCastleMasksP7state_t
0x00403230:0x0040324f, _Z11RankAttacksyj
0x00403250:0x0040328c, _Z11FileAttacksyj
0x00403290:0x004032c1, _Z15DiagonalAttacksyj
0x004032d0:0x00403301, _Z15AntiDiagAttacksyj
0x00403310:0x0040336f, _Z13BishopAttacksP7state_ti
0x00403370:0x004033d2, _Z11RookAttacksP7state_ti
0x004033e0:0x004033e6, _Z8PopCounty
0x004033f0:0x00403413, _Z9FindFirsty
0x00403420:0x0040344c, _Z15FindFirstRemovePy
0x00403450:0x00403485, _Z8FindLasty
0x00403490:0x004034eb, _Z13ThickPopCounty
0x004034f0:0x004034fb, _Z4ranki
0x00403500:0x00403507, _Z4filei
0x00403510:0x00403540, _Z8sum_distii
0x00403540:0x00403573, _Z12taxicab_distii
0x00403580:0x004035b3, _Z16taxicab_dist_bitii
0x004035c0:0x004036f5, _Z11check_phaseP11gamestate_tP7state_t
0x00403700:0x004037cf, _Z7is_drawP11gamestate_tP7state_t
0x004037d0:0x00403852, _Z21insufficient_materialP7state_t
0x00403860:0x004045ee, _Z14drawn_endgamesP7state_tiii
0x004045f0:0x00404c5b, _Z14setup_epd_lineP11gamestate_tP7state_tPKc
0x00404c60:0x00404d1c, _Z14check_solutionP7state_tPci
0x00404d20:0x00404ebf, _Z17run_epd_testsuiteP11gamestate_tP7state_tPKc
0x00404ec0:0x004051c0, _Z15position_to_fenP7state_tPc
0x004051c0:0x004056fd, _Z9gen_quietP7state_tPi
0x00405700:0x00405720, _Z11add_capturePiiiiii
0x00405720:0x00405737, _Z8add_movePiiii
0x00405740:0x00405757, _Z15add_king_castlePiiii
0x00405760:0x004060ad, _Z3genP7state_tPi
0x004060b0:0x004066c5, _Z12gen_capturesP7state_tPi
0x004066d0:0x00406a08, _Z15gen_good_checksP7state_tPi
0x00406a10:0x00406dde, _Z16gen_check_blocksP7state_tPii
0x00406de0:0x00406eab, _Z12gen_evasionsP7state_tPii
0x00406eb0:0x00406f3a, _Z15init_parametersP11gamestate_t
0x00406f40:0x00407679, _Z4makeP7state_ti
0x00407680:0x00407a56, _Z6unmakeP7state_ti
0x00407a60:0x00407b56, _Z11check_legalP7state_ti
0x00407b60:0x00407ffb, _Z20check_castle_blockerP7state_ti
0x00408000:0x00409542, _Z5fevalP7state_tiP12t_eval_comps
0x00409550:0x0040983c, _Z4evalP7state_tiii
0x00409840:0x00409869, _Z13retrieve_evalP7state_t
0x00409870:0x00409881, _Z13clear_pawn_ttv
0x00409890:0x004098b2, _Z5scaleiii
0x004098c0:0x0040a508, _Z16static_pawn_evalP7state_t
0x0040a510:0x0040a570, _Z8psq_evalP7state_tP12t_eval_comps
