0x000041b0:0x000041da, _start
0x000041e0:0x00004212, deregister_tm_clones
0x00004220:0x00004262, register_tm_clones
0x00004270:0x000042a2, __do_global_dtors_aux
0x000042b0:0x000042e0, frame_dummy
0x000042e0:0x000048bd, main
0x000048e0:0x0000492f, die
0x00004940:0x00004990, bug
0x00004990:0x00004a1f, die2
0x00004a30:0x00004a4d, vsf_exit
0x00004a50:0x00004c01, init_connection
0x00004c10:0x000050d6, parse_username_password
0x000050e0:0x00005185, handle_pass_command
0x00005190:0x000051a7, vsf_cmdio_sock_setup
0x000051b0:0x000051e1, vsf_cmdio_write
0x000051f0:0x00005221, vsf_cmdio_write_hyphen
0x00005230:0x00005287, vsf_cmdio_write_raw
0x00005290:0x000052ee, vsf_cmdio_write_exit
0x000052f0:0x000052fd, vsf_cmdio_write_str_hyphen
0x00005300:0x000053f9, ftp_write_str_common
0x00005400:0x00005410, vsf_cmdio_write_str
0x00005410:0x00005443, vsf_cmdio_set_alarm
0x00005450:0x00005467, handle_alarm_timeout
0x00005470:0x000056b5, vsf_cmdio_get_cmd_and_arg
0x000056c0:0x00007925, process_post_login
0x00007930:0x000079ea, handle_sigurg
0x000079f0:0x00007a60, handle_cwd
0x00007a60:0x00007cb4, handle_pasv
0x00007cc0:0x0000805e, handle_retr
0x00008060:0x0000816f, resolve_tilde
0x00008170:0x00008202, data_transfer_checks_ok
0x00008210:0x000082aa, prepend_path_to_filename
0x000082b0:0x0000834e, get_remote_transfer_fd
0x00008350:0x000083ae, pasv_active
0x000083b0:0x00008739, handle_dir_common
0x00008740:0x00008b9b, handle_upload_common
0x00008ba0:0x00008be5, priv_sock_init
0x00008bf0:0x00008c2a, priv_sock_close
0x00008c30:0x00008c62, priv_sock_set_parent_context
0x00008c70:0x00008ca2, priv_sock_set_child_context
0x00008cb0:0x00008cd8, priv_sock_send_cmd
0x00008ce0:0x00008d34, priv_sock_send_str
0x00008d40:0x00008d67, priv_sock_send_int
0x00008d70:0x00008dcc, priv_sock_send_buf
0x00008dd0:0x00008e41, priv_sock_recv_buf
0x00008e50:0x00008e77, priv_sock_get_int
0x00008e80:0x00008ea7, priv_sock_get_result
0x00008eb0:0x00008ed7, priv_sock_get_cmd
0x00008ee0:0x00008f60, priv_sock_get_str
0x00008f60:0x00008f88, priv_sock_send_result
0x00008f90:0x00008f95, priv_sock_send_fd
0x00008fa0:0x00008fa5, priv_sock_recv_fd
0x00008fb0:0x00009793, tunables_load_defaults
0x000097a0:0x00009960, vsf_ftpdataio_dispose_transfer_fd
0x00009960:0x00009a3b, vsf_ftpdataio_get_pasv_fd
0x00009a40:0x00009b1b, vsf_ftpdataio_get_port_fd
0x00009b20:0x00009bcd, vsf_ftpdataio_post_mark_connect
0x00009bd0:0x00009bd2, vsf_ftpdataio_transfer_dir
0x00009be0:0x00009efa, transfer_dir_internal
0x00009f00:0x0000a2c1, vsf_ftpdataio_transfer_file
0x0000a2d0:0x0000a340, handle_sigalrm
0x0000a340:0x0000a429, handle_io
0x0000a430:0x0000a504, vsf_secbuf_alloc
0x0000a510:0x0000a565, vsf_secbuf_free
0x0000a570:0x0000abe2, vsf_ls_populate_dir_list
0x0000abf0:0x0000afb6, vsf_filename_passes_filter
0x0000afc0:0x0000b1d8, vsf_priv_parent_postlogin
0x0000b1e0:0x0000b2ea, vsf_log_init
0x0000b2f0:0x0000b35f, vsf_log_start_entry
0x0000b360:0x0000b371, vsf_log_line
0x0000b380:0x0000b61c, vsf_log_common
0x0000b620:0x0000b62e, vsf_log_entry_pending
0x0000b630:0x0000b63c, vsf_log_clear_entry
0x0000b640:0x0000b663, vsf_log_do_log
0x0000b670:0x0000b6d6, vsf_log_do_log_to_file
0x0000b6e0:0x0000ba98, vsf_log_do_log_vsftpd_format
0x0000baa0:0x0000bb2c, private_str_alloc_memchunk
0x0000bb30:0x0000bb49, str_free
0x0000bb50:0x0000bbda, private_str_append_memchunk
0x0000bbe0:0x0000bc06, str_alloc_text
0x0000bc10:0x0000bc1e, str_copy
0x0000bc20:0x0000bc2f, str_strdup
0x0000bc30:0x0000bcc0, str_getbuf
0x0000bcc0:0x0000bd0d, str_alloc_alt_term
0x0000bd10:0x0000bd3e, str_alloc_ulong
0x0000bd40:0x0000bd6e, str_alloc_filesize_t
0x0000bd70:0x0000bd9a, str_empty
0x0000bda0:0x0000bdcc, str_trunc
0x0000bdd0:0x0000be12, str_reserve
0x0000be20:0x0000be2a, str_isempty
0x0000be30:0x0000be34, str_getlen
0x0000be40:0x0000be77, str_strcmp
0x0000be80:0x0000bebe, str_equal
0x0000bec0:0x0000bf0e, str_equal_text
0x0000bf10:0x0000bf1e, str_append_str
0x0000bf20:0x0000bf46, str_append_text
0x0000bf50:0x0000bf67, str_append_char
0x0000bf70:0x0000bf9e, str_append_ulong
