0x00400c00:0x00400c2a, _start
0x00400c30:0x00400c62, deregister_tm_clones
0x00400c70:0x00400caa, register_tm_clones
0x00400cb0:0x00400ccc, __do_global_dtors_aux
0x00400cd0:0x00400cf6, frame_dummy
0x00400cf6:0x004010c4, _Z11is_attackedP7state_tii
0x004010c4:0x00401136, _Z8in_checkP7state_t
0x00401136:0x00401340, _Z10attacks_toP7state_ti
0x00401340:0x004013d0, _Z13PrintBitboardy
0x004013d0:0x00401401, _Z17PrintRotBitboardsP7state_t
0x00401401:0x004015d8, _Z17PrintAllBitboardsP7state_t
0x004015d8:0x00402aa0, _Z22SetupPrecalculatedDatav
0x00402aa0:0x00402bc3, _Z16SetupCastleMasksP7state_t
0x00402bc3:0x00402c10, _Z11RankAttacksyj
0x00402c10:0x00402c7e, _Z11FileAttacksyj
0x00402c7e:0x00402cdf, _Z15DiagonalAttacksyj
0x00402cdf:0x00402d40, _Z15AntiDiagAttacksyj
0x00402d40:0x00402d8d, _Z13BishopAttacksP7state_ti
0x00402d8d:0x00402dda, _Z11RookAttacksP7state_ti
0x00402dda:0x00402e02, _ZSt3minIiERKT_S2_S2_
0x00402e02:0x00402e2f, _Z8PopCounty
0x00402e2f:0x00402e65, _Z9FindFirsty
0x00402e65:0x00402eb9, _Z15FindFirstRemovePy
0x00402eb9:0x00402f09, _Z8FindLasty
0x00402f09:0x00402fa4, _Z13ThickPopCounty
0x00402fa4:0x00402fbc, _Z4ranki
0x00402fbc:0x00402fce, _Z4filei
0x00402fce:0x0040303a, _Z8sum_distii
0x0040303a:0x004030ae, _Z12taxicab_distii
0x004030ae:0x004030cd, _Z16taxicab_dist_bitii
0x004030cd:0x004032c2, _Z11check_phaseP11gamestate_tP7state_t
0x004032c2:0x00403437, _Z7is_drawP11gamestate_tP7state_t
0x00403437:0x00403542, _Z21insufficient_materialP7state_t
0x00403542:0x00404925, _Z14drawn_endgamesP7state_tiii
0x00404925:0x00405205, _Z14setup_epd_lineP11gamestate_tP7state_tPKc
0x00405205:0x00405331, _Z14check_solutionP7state_tPci
0x00405331:0x00405585, _Z17run_epd_testsuiteP11gamestate_tP7state_tPKc
0x00405585:0x00405817, _Z15position_to_fenP7state_tPc
0x00405817:0x004060d6, _Z9gen_quietP7state_tPi
0x004060d6:0x0040718f, _Z3genP7state_tPi
0x0040718f:0x00407b12, _Z12gen_capturesP7state_tPi
0x00407b12:0x00407fb2, _Z15gen_good_checksP7state_tPi
0x00407fb2:0x00408508, _Z16gen_check_blocksP7state_tPii
0x00408508:0x00408680, _Z12gen_evasionsP7state_tPii
0x00408680:0x004086bc, _Z8add_movePiiii
0x004086bc:0x0040870b, _Z11add_capturePiiiiii
0x0040870b:0x00408747, _Z15add_king_castlePiiii
0x00408747:0x004087e4, _Z15init_parametersP11gamestate_t
0x004087e4:0x00409860, _Z4makeP7state_ti
0x00409860:0x0040a191, _Z6unmakeP7state_ti
0x0040a191:0x0040a33b, _Z11check_legalP7state_ti
0x0040a33b:0x0040a927, _Z20check_castle_blockerP7state_ti
0x0040a927:0x0040af7b, _ZL11passer_evalP7state_tP8pawntt_tiP12t_eval_comps
0x0040af7b:0x0040b2ab, _ZL15positional_evalP7state_tP8pawntt_tP12t_eval_comps
0x0040b2ab:0x0040b5b3, _ZL12trapped_evalP7state_tP12t_eval_comps
0x0040b5b3:0x0040b68a, _ZL16opposite_bishopsP7state_tiii
0x0040b68a:0x0040c00a, _ZL13mobility_evalP7state_tP12t_eval_compsP12attackinfo_t
0x0040c00a:0x0040c5b7, _ZL15kingsafety_evalP7state_tP8pawntt_tP12t_eval_comps
0x0040c5b7:0x0040c9e5, _ZL17kingpressure_evalP7state_tP12attackinfo_tP12t_eval_comps
0x0040c9e5:0x0040cb34, _Z5fevalP7state_tiP12t_eval_comps
0x0040cb34:0x0040cf4a, _Z4evalP7state_tiii
0x0040cf4a:0x0040cfa3, _Z13retrieve_evalP7state_t
0x0040cfa3:0x0040cfbe, _Z13clear_pawn_ttv
0x0040cfbe:0x0040d055, _Z5scaleiii
0x0040d055:0x0040e2a4, _ZL14full_pawn_evalP7state_tP8pawntt_t
0x0040e2a4:0x0040e34f, _Z16static_pawn_evalP7state_t
0x0040e34f:0x0040e451, _Z8psq_evalP7state_tP12t_eval_comps
0x0040e451:0x0040e4ef, _Z14init_psq_scoreP7state_t
0x0040e4ef:0x0040e699, _Z18preprocess_preparev
0x0040e699:0x0040ebbc, _ZL12history_goodP7state_tii
0x0040ebbc:0x0040eddb, _ZL11history_badP7state_tii
0x0040eddb:0x0040ee86, _ZL13history_scoreP7state_ti
0x0040ee86:0x0040ef3a, _ZL15history_pre_cutP7state_tii
0x0040ef3a:0x0040f292, _ZL12make_blunderP7state_tiPii
0x0040f292:0x0040f770, _ZL11order_movesP7state_tPiS1_ij
0x0040f770:0x0040fb0d, _ZL16fast_order_movesP7state_tPiS1_ij
0x0040fb0d:0x0040febf, _ZL17search_time_checkP7state_t
