0x00402570:0x00402590, _ZN21POVMS_MessageReceiver17FunctionHandlerOO4CallER13POVMS_MessageS2_i.part.0
0x00402590:0x004025b0, _ZN8pov_base11OTextStreamC2EPKcjb.part.2
0x004025b0:0x00402ab6, main
0x00402ac0:0x00402afb, _GLOBAL__sub_I__ZN3pov20Debug_Message_BufferE
0x00402b00:0x00402b2a, _start
0x00402b30:0x00402b62, deregister_tm_clones
0x00402b70:0x00402baa, register_tm_clones
0x00402bb0:0x00402bcc, __do_global_dtors_aux
0x00402bd0:0x00402bf6, frame_dummy
0x00402c00:0x00402c02, _ZN3pov26Initialize_Atmosphere_CodeEv
0x00402c10:0x00402c12, _ZN3pov28Deinitialize_Atmosphere_CodeEv
0x00402c20:0x00402f4e, _ZN3pov22Do_Infinite_AtmosphereEPNS_10Ray_StructEPf
0x00402f50:0x00403c2f, _ZN3pov20Do_Finite_AtmosphereEPNS_10Ray_StructEPNS_10istk_entryEPfi
0x00403c30:0x00403cba, _ZN3pov10Create_FogEv
0x00403cc0:0x00403dcb, _ZN3pov8Copy_FogEPNS_10Fog_StructE
0x00403dd0:0x00403e12, _ZN3pov11Destroy_FogEPNS_10Fog_StructE
0x00403e20:0x00403ec5, _ZN3pov14Create_RainbowEv
0x00403ed0:0x00403f80, _ZN3pov12Copy_RainbowEPNS_14Rainbow_StructE
0x00403f80:0x00403fb2, _ZN3pov15Destroy_RainbowEPNS_14Rainbow_StructE
0x00403fc0:0x00403ff9, _ZN3pov16Create_SkysphereEv
0x00404000:0x004040da, _ZN3pov14Copy_SkysphereEPNS_16Skysphere_StructE
0x004040e0:0x00404162, _ZN3pov17Destroy_SkysphereEPNS_16Skysphere_StructE
0x00404170:0x004041db, _ZN3pov16Rotate_SkysphereEPNS_16Skysphere_StructEPd
0x004041e0:0x0040424b, _ZN3pov15Scale_SkysphereEPNS_16Skysphere_StructEPd
0x00404250:0x004042bb, _ZN3pov19Translate_SkysphereEPNS_16Skysphere_StructEPd
0x004042c0:0x00404303, _ZN3pov19Transform_SkysphereEPNS_16Skysphere_StructEPNS_16Transform_StructE
0x00404310:0x00404386, _ZN3povL9compboxesEPKvS1_
0x00404390:0x00404a80, _ZN3povL14sort_and_splitEPPNS_16BBox_Tree_StructERS2_Plll
0x00404a80:0x00404ad0, _ZN3pov20Initialize_BBox_CodeEv
0x00404ad0:0x00404b17, _ZN3pov22Deinitialize_BBox_CodeEv
0x00404b20:0x00404b75, _ZN3pov21Create_Priority_QueueEj
0x00404b80:0x00404bc2, _ZN3pov22Destroy_Priority_QueueEPNS_21Priority_Queue_StructE
0x00404bd0:0x00405064, _ZN3pov17Destroy_BBox_TreeEPNS_16BBox_Tree_StructE
