0x000042b0:0x000049fb, main
0x00004a00:0x00004a2a, _start
0x00004a30:0x00004a62, deregister_tm_clones
0x00004a70:0x00004ab2, register_tm_clones
0x00004ac0:0x00004af2, __do_global_dtors_aux
0x00004b00:0x00004b30, frame_dummy
0x00004b30:0x00004b80, bug
0x00004b80:0x00004b89, die
0x00004ba0:0x00004c11, die2
0x00004c20:0x00004c3d, vsf_exit
0x00004c40:0x00004cfa, handle_pass_command
0x00004d00:0x000053d7, init_connection
0x000053e0:0x00005523, ftp_write_str_common
0x00005530:0x0000554d, handle_alarm_timeout
0x00005550:0x0000557c, vsf_cmdio_set_alarm_0
0x00005580:0x0000559d, vsf_cmdio_sock_setup
0x000055a0:0x000055d6, vsf_cmdio_write
0x000055e0:0x00005616, vsf_cmdio_write_hyphen
0x00005620:0x0000567e, vsf_cmdio_write_raw
0x00005680:0x000056e1, vsf_cmdio_write_exit
0x000056f0:0x000056fd, vsf_cmdio_write_str_hyphen
0x00005700:0x0000570d, vsf_cmdio_write_str
0x00005710:0x00005725, vsf_cmdio_set_alarm
0x00005730:0x00005977, vsf_cmdio_get_cmd_and_arg
0x00005980:0x00005a78, handle_sigurg
0x00005a80:0x00005a95, pasv_cleanup
0x00005aa0:0x00005d58, handle_pasv
0x00005d60:0x00005e01, prepend_path_to_filename
0x00005e10:0x00005e2b, check_abor
0x00005e30:0x00005f4f, resolve_tilde
0x00005f50:0x00005fcf, handle_cwd
0x00005fd0:0x00006023, pasv_active
0x00006030:0x0000605c, port_active
0x00006060:0x0000610c, get_remote_transfer_fd
0x00006120:0x000061de, data_transfer_checks_ok
0x000061e0:0x000065d5, handle_retr
0x000065e0:0x000069d0, handle_dir_common
0x000069d0:0x00006f2f, handle_upload_common
0x00006f30:0x0000904b, process_post_login
0x00009050:0x00009095, priv_sock_init
0x000090a0:0x000090da, priv_sock_close
0x000090e0:0x0000910c, priv_sock_set_parent_context
0x00009120:0x0000914c, priv_sock_set_child_context
0x00009160:0x0000918e, priv_sock_send_cmd
0x00009190:0x000091be, priv_sock_get_result
0x000091c0:0x000091ee, priv_sock_get_cmd
0x000091f0:0x0000921e, priv_sock_send_result
0x00009220:0x00009225, priv_sock_send_fd
0x00009230:0x00009235, priv_sock_recv_fd
0x00009240:0x0000926d, priv_sock_send_int
0x00009270:0x000092af, priv_sock_send_str
0x000092b0:0x000092f0, priv_sock_send_buf
0x000092f0:0x0000931d, priv_sock_get_int
0x00009320:0x0000938c, priv_sock_recv_buf
0x00009390:0x000093f5, priv_sock_get_str
0x00009400:0x00009434, install_str_setting
0x00009440:0x00009b2a, tunables_load_defaults
0x00009b30:0x00009f43, transfer_dir_internal
0x00009f50:0x00009fa4, start_data_alarm
0x00009fb0:0x0000a002, init_data_sock_params
0x0000a010:0x0000a04d, handle_sigalrm
0x0000a050:0x0000a150, handle_io
0x0000a150:0x0000a29d, vsf_ftpdataio_dispose_transfer_fd
0x0000a2a0:0x0000a32b, vsf_ftpdataio_get_pasv_fd
0x0000a330:0x0000a3a3, vsf_ftpdataio_get_port_fd
0x0000a3b0:0x0000a479, vsf_ftpdataio_post_mark_connect
0x0000a490:0x0000a495, vsf_ftpdataio_transfer_dir
0x0000a4a0:0x0000a874, vsf_ftpdataio_transfer_file
0x0000a880:0x0000a8c2, vsf_secbuf_free
0x0000a8d0:0x0000a99b, vsf_secbuf_alloc
0x0000a9a0:0x0000ad70, vsf_filename_passes_filter
0x0000ad70:0x0000b505, vsf_ls_populate_dir_list
0x0000b510:0x0000b772, vsf_priv_parent_postlogin
0x0000b780:0x0000b7e8, vsf_log_do_log_to_file
0x0000b7f0:0x0000bd14, vsf_log_do_log_vsftpd_format
0x0000bd20:0x0000c028, vsf_log_common
0x0000c030:0x0000c173, vsf_log_init
0x0000c180:0x0000c20f, vsf_log_start_entry
0x0000c210:0x0000c21f, vsf_log_line
0x0000c220:0x0000c22e, vsf_log_entry_pending
0x0000c230:0x0000c23c, vsf_log_clear_entry
0x0000c240:0x0000c263, vsf_log_do_log
0x0000c270:0x0000c30c, private_str_alloc_memchunk
0x0000c320:0x0000c3bc, private_str_append_memchunk
0x0000c3d0:0x0000c3f7, str_alloc_text
