0x00400c80:0x00400caa, _start
0x00400cb0:0x00400ce2, deregister_tm_clones
0x00400cf0:0x00400d2a, register_tm_clones
0x00400d30:0x00400d4c, __do_global_dtors_aux
0x00400d50:0x00400d76, frame_dummy
0x00400d80:0x004012af, main
0x004012b0:0x00401367, init_encoder
0x00401370:0x00401607, uncompressStream
0x00401610:0x00401843, compressStream
0x00401850:0x00401853, tuklib_physmem
0x00401860:0x00401866, lzma_version_number
0x00401870:0x00401876, lzma_version_string
0x00401880:0x004018af, lzma_alloc
0x004018b0:0x004018d2, lzma_free
0x004018e0:0x00401931, lzma_bufcpy
0x00401940:0x00401a05, lzma_next_filter_init
0x00401a10:0x00401a7f, lzma_next_end
0x00401a80:0x00401aa9, lzma_next_filter_update
0x00401ab0:0x00401b50, lzma_strm_init
0x00401b50:0x00401d7e, lzma_code
0x00401d80:0x00401e3c, lzma_end
0x00401e40:0x00401e55, lzma_get_check
0x00401e60:0x00401ea2, lzma_memusage
0x00401eb0:0x00401ef2, lzma_memlimit_get
0x00401f00:0x00401f4a, lzma_memlimit_set
0x00401f50:0x00402014, lzma_block_compressed_size
0x00402020:0x00402097, lzma_block_unpadded_size
0x004020a0:0x00402122, lzma_block_total_size
0x00402130:0x00402168, lzma_easy_preset
0x00402170:0x004022fe, lzma_filters_copy
0x00402300:0x0040250e, lzma_raw_coder_init
0x00402510:0x0040262b, lzma_raw_coder_memusage
0x00402630:0x00402635, lzma_physmem
0x00402640:0x00402700, lzma_index_init
0x00402700:0x004028a5, index_tree_append
0x004028b0:0x004028ee, lzma_index_end
0x004028f0:0x00402901, index_stream_end
0x00402910:0x00402926, lzma_index_prealloc
0x00402930:0x00402992, lzma_index_memusage
0x004029a0:0x00402a09, lzma_index_memused
0x00402a10:0x00402a15, lzma_index_block_count
0x00402a20:0x00402a24, lzma_index_stream_count
0x00402a30:0x00402a51, lzma_index_size
0x00402a60:0x00402a65, lzma_index_total_size
0x00402a70:0x00402aa5, lzma_index_stream_size
