0x00403180:0x004031a8, __cxx_global_var_init
0x004031b0:0x004031b2, _GLOBAL__sub_I_AVT.cpp
0x004031c0:0x004031ca, __cxx_global_var_init_0
0x004031d0:0x004031d2, _GLOBAL__sub_I_CDATASectionImpl.cpp
0x004031e0:0x004031ea, __cxx_global_var_init_1
0x004031f0:0x004031f2, _GLOBAL__sub_I_CommentImpl.cpp
0x00403200:0x0040320a, __cxx_global_var_init_2
0x00403210:0x00403212, _GLOBAL__sub_I_ComplexTypeInfo.cpp
0x00403220:0x00403248, __cxx_global_var_init_3
0x00403250:0x00403278, __cxx_global_var_init.1
0x00403280:0x004032a8, __cxx_global_var_init.2
0x004032b0:0x004032d8, __cxx_global_var_init.3
0x004032e0:0x00403308, __cxx_global_var_init.4
0x00403310:0x00403338, __cxx_global_var_init.5
0x00403340:0x00403368, __cxx_global_var_init.6
0x00403370:0x00403398, __cxx_global_var_init.7
0x004033a0:0x004033c8, __cxx_global_var_init.8
0x004033d0:0x004033f8, __cxx_global_var_init.9
0x00403400:0x00403428, __cxx_global_var_init.10
0x00403430:0x00403458, __cxx_global_var_init.11
0x00403460:0x00403488, __cxx_global_var_init.12
0x00403490:0x004034b8, __cxx_global_var_init.13
0x004034c0:0x004034e8, __cxx_global_var_init.14
0x004034f0:0x00403518, __cxx_global_var_init.15
0x00403520:0x00403548, __cxx_global_var_init.16
0x00403550:0x00403578, __cxx_global_var_init.17
0x00403580:0x004035a8, __cxx_global_var_init.18
0x004035b0:0x004035d8, __cxx_global_var_init.19
0x004035e0:0x00403608, __cxx_global_var_init.20
0x00403610:0x00403638, __cxx_global_var_init.21
0x00403640:0x00403668, __cxx_global_var_init.22
0x00403670:0x00403698, __cxx_global_var_init.23
0x004036a0:0x004036c8, __cxx_global_var_init.24
0x004036d0:0x004036f8, __cxx_global_var_init.25
0x00403700:0x00403728, __cxx_global_var_init.26
0x00403730:0x00403758, __cxx_global_var_init.27
0x00403760:0x00403788, __cxx_global_var_init.28
0x00403790:0x004037b8, __cxx_global_var_init.29
0x004037c0:0x004037e8, __cxx_global_var_init.30
0x004037f0:0x00403818, __cxx_global_var_init.31
0x00403820:0x00403848, __cxx_global_var_init.32
0x00403850:0x00403878, __cxx_global_var_init.33
0x00403880:0x004038a8, __cxx_global_var_init.34
0x004038b0:0x004038d8, __cxx_global_var_init.35
0x004038e0:0x00403908, __cxx_global_var_init.36
0x00403910:0x00403938, __cxx_global_var_init.37
0x00403940:0x00403968, __cxx_global_var_init.38
0x00403970:0x00403998, __cxx_global_var_init.39
0x004039a0:0x004039c8, __cxx_global_var_init.40
0x004039d0:0x004039f8, __cxx_global_var_init.41
0x00403a00:0x00403a28, __cxx_global_var_init.42
0x00403a30:0x00403a58, __cxx_global_var_init.43
0x00403a60:0x00403a88, __cxx_global_var_init.44
0x00403a90:0x00403ab8, __cxx_global_var_init.45
0x00403ac0:0x00403ae8, __cxx_global_var_init.46
0x00403af0:0x00403b18, __cxx_global_var_init.47
0x00403b20:0x00403b48, __cxx_global_var_init.48
0x00403b50:0x00403b78, __cxx_global_var_init.49
0x00403b80:0x00403ba8, __cxx_global_var_init.50
0x00403bb0:0x00403bd8, __cxx_global_var_init.51
0x00403be0:0x00403c08, __cxx_global_var_init.52
0x00403c10:0x00403c38, __cxx_global_var_init.53
0x00403c40:0x00403c68, __cxx_global_var_init.54
0x00403c70:0x00403c98, __cxx_global_var_init.55
0x00403ca0:0x00403cc8, __cxx_global_var_init.56
0x00403cd0:0x00403cf8, __cxx_global_var_init.57
0x00403d00:0x00403d28, __cxx_global_var_init.58
0x00403d30:0x00403d58, __cxx_global_var_init.59
0x00403d60:0x00403d88, __cxx_global_var_init.60
0x00403d90:0x00403db8, __cxx_global_var_init.61
0x00403dc0:0x00403de8, __cxx_global_var_init.62
0x00403df0:0x00403e18, __cxx_global_var_init.63
0x00403e20:0x00403e48, __cxx_global_var_init.64
0x00403e50:0x00403e78, __cxx_global_var_init.65
0x00403e80:0x00403ea8, __cxx_global_var_init.66
0x00403eb0:0x00403ed8, __cxx_global_var_init.67
0x00403ee0:0x00403f08, __cxx_global_var_init.68
0x00403f10:0x00403f38, __cxx_global_var_init.69
0x00403f40:0x00403f68, __cxx_global_var_init.70
0x00403f70:0x00403f98, __cxx_global_var_init.71
0x00403fa0:0x00403fc8, __cxx_global_var_init.72
0x00403fd0:0x00403ff8, __cxx_global_var_init.73
0x00404000:0x00404028, __cxx_global_var_init.74
0x00404030:0x00404058, __cxx_global_var_init.75
0x00404060:0x00404088, __cxx_global_var_init.76
0x00404090:0x004040b8, __cxx_global_var_init.77
0x004040c0:0x004040e8, __cxx_global_var_init.78
0x004040f0:0x00404118, __cxx_global_var_init.79
0x00404120:0x00404148, __cxx_global_var_init.80
0x00404150:0x00404178, __cxx_global_var_init.81
0x00404180:0x004041a8, __cxx_global_var_init.82
0x004041b0:0x004041d8, __cxx_global_var_init.83
0x004041e0:0x00404208, __cxx_global_var_init.84
0x00404210:0x00404238, __cxx_global_var_init.85
0x00404240:0x00404268, __cxx_global_var_init.86
