0x000041b0:0x000041da, _start
0x000041e0:0x00004212, deregister_tm_clones
0x00004220:0x00004262, register_tm_clones
0x00004270:0x000042a2, __do_global_dtors_aux
0x000042b0:0x000042e0, frame_dummy
0x000042e0:0x00004910, main
0x00004930:0x0000497f, die
0x00004990:0x000049e0, bug
0x000049e0:0x00004a6f, die2
0x00004a80:0x00004a9d, vsf_exit
0x00004aa0:0x00004c51, init_connection
0x00004c60:0x00005146, parse_username_password
0x00005150:0x000051f5, handle_pass_command
0x00005200:0x00005217, vsf_cmdio_sock_setup
0x00005220:0x00005251, vsf_cmdio_write
0x00005260:0x00005291, vsf_cmdio_write_hyphen
0x000052a0:0x000052f7, vsf_cmdio_write_raw
0x00005300:0x0000535e, vsf_cmdio_write_exit
0x00005360:0x0000536d, vsf_cmdio_write_str_hyphen
0x00005370:0x00005469, ftp_write_str_common
0x00005470:0x00005480, vsf_cmdio_write_str
0x00005480:0x000054b3, vsf_cmdio_set_alarm
0x000054c0:0x000054d7, handle_alarm_timeout
0x000054e0:0x00005734, vsf_cmdio_get_cmd_and_arg
0x00005740:0x00007a54, process_post_login
0x00007a60:0x00007b1a, handle_sigurg
0x00007b20:0x00007b90, handle_cwd
0x00007b90:0x00007df6, handle_pasv
0x00007e00:0x0000823e, handle_retr
0x00008240:0x00008353, resolve_tilde
0x00008360:0x000083fa, prepend_path_to_filename
0x00008400:0x0000849e, get_remote_transfer_fd
0x000084a0:0x00008504, pasv_active
0x00008510:0x00008970, handle_dir_common
0x00008970:0x00008e7d, handle_upload_common
0x00008e80:0x00008ec5, priv_sock_init
0x00008ed0:0x00008f0a, priv_sock_close
0x00008f10:0x00008f3c, priv_sock_set_parent_context
0x00008f60:0x00008f8c, priv_sock_set_child_context
0x00008fb0:0x00008fd8, priv_sock_send_cmd
0x00008fe0:0x00009034, priv_sock_send_str
0x00009040:0x00009067, priv_sock_send_int
0x00009070:0x000090cc, priv_sock_send_buf
0x000090d0:0x00009141, priv_sock_recv_buf
0x00009150:0x00009177, priv_sock_get_int
0x00009180:0x000091a7, priv_sock_get_result
0x000091b0:0x000091d7, priv_sock_get_cmd
0x000091e0:0x00009260, priv_sock_get_str
0x00009260:0x00009288, priv_sock_send_result
0x00009290:0x00009295, priv_sock_send_fd
0x000092a0:0x000092a5, priv_sock_recv_fd
0x000092b0:0x00009a93, tunables_load_defaults
0x00009aa0:0x00009c75, vsf_ftpdataio_dispose_transfer_fd
0x00009c80:0x00009d60, vsf_ftpdataio_get_pasv_fd
0x00009d60:0x00009e3b, vsf_ftpdataio_get_port_fd
0x00009e40:0x00009eed, vsf_ftpdataio_post_mark_connect
0x00009ef0:0x00009ef2, vsf_ftpdataio_transfer_dir
0x00009f00:0x0000a21a, transfer_dir_internal
0x0000a220:0x0000a4a4, vsf_ftpdataio_transfer_file
0x0000a4b0:0x0000a6b1, do_file_send_rwloop
0x0000a6c0:0x0000a730, handle_sigalrm
0x0000a730:0x0000a819, handle_io
0x0000a820:0x0000a8f4, vsf_secbuf_alloc
0x0000a900:0x0000a955, vsf_secbuf_free
0x0000a960:0x0000afe2, vsf_ls_populate_dir_list
0x0000aff0:0x0000b3c3, vsf_filename_passes_filter
0x0000b3d0:0x0000b60d, vsf_priv_parent_postlogin
0x0000b610:0x0000b73b, vsf_log_init
0x0000b740:0x0000b7af, vsf_log_start_entry
0x0000b7b0:0x0000b7c1, vsf_log_line
0x0000b7d0:0x0000bb3c, vsf_log_common
0x0000bb40:0x0000bb4e, vsf_log_entry_pending
0x0000bb50:0x0000bb5c, vsf_log_clear_entry
0x0000bb60:0x0000bb83, vsf_log_do_log
0x0000bb90:0x0000bf75, vsf_log_do_log_vsftpd_format
0x0000bf80:0x0000c017, private_str_alloc_memchunk
0x0000c020:0x0000c039, str_free
0x0000c040:0x0000c0da, private_str_append_memchunk
0x0000c0f0:0x0000c18f, str_alloc_text
0x0000c190:0x0000c22a, str_copy
0x0000c230:0x0000c23f, str_strdup
0x0000c240:0x0000c2d8, str_getbuf
0x0000c2e0:0x0000c3f4, str_alloc_alt_term
0x0000c400:0x0000c418, str_alloc_ulong
0x0000c420:0x0000c438, str_alloc_filesize_t
0x0000c440:0x0000c46a, str_empty
0x0000c470:0x0000c49c, str_trunc
0x0000c4a0:0x0000c4e2, str_reserve
0x0000c4f0:0x0000c4fa, str_isempty
0x0000c500:0x0000c504, str_getlen
0x0000c510:0x0000c547, str_strcmp
0x0000c550:0x0000c58e, str_equal
0x0000c590:0x0000c5de, str_equal_text
0x0000c5e0:0x0000c67b, str_append_str
0x0000c690:0x0000c723, str_append_text
0x0000c730:0x0000c7b3, str_append_char
0x0000c7c0:0x0000c7d8, str_append_ulong
0x0000c7e0:0x0000c7f8, str_append_filesize_t
0x0000c800:0x0000c815, str_append_double
0x0000c820:0x0000c857, str_upper
