0x00400950:0x00400a23, main
0x00400a30:0x00400a5a, start
0x00400a60:0x00400a92, sub_400A60
0x00400ae0:0x00400afc, sub_400AE0
0x00400b00:0x00400b26, sub_400B00
0x00400b30:0x00400b77, sub_400B30
0x00400b80:0x00400b9c, sub_400B80
0x00400ba0:0x00400c79, sub_400BA0
0x00400c80:0x00400c8d, sub_400C80
0x00400c90:0x00400d29, sub_400C90
0x00400d30:0x0040102b, sub_400D30
0x00401030:0x004010d6, sub_401030
0x004018e0:0x004022f5, sub_4018E0
0x00402300:0x00402d93, sub_402300
0x00402da0:0x00403111, sub_402DA0
0x00403120:0x004033f6, sub_403120
0x00403400:0x00403776, sub_403400
0x00403780:0x004038e6, sub_403780
0x004038f0:0x00403a60, sub_4038F0
0x00403a60:0x00403afe, sub_403A60
0x00403b00:0x00403b6a, sub_403B00
0x00403b70:0x00403bd5, init
0x00403be0:0x00403be2, fini
