0x00400960:0x00400b18, main
0x00400b20:0x00400b4a, start
0x00400b50:0x00400b82, sub_400B50
0x00400bd0:0x00400bec, sub_400BD0
0x00400bf0:0x00400c16, sub_400BF0
0x00400c20:0x00400d59, sub_400C20
0x00400d60:0x00400e11, sub_400D60
0x00400e20:0x00400f71, sub_400E20
0x00400f90:0x00400fd5, sub_400F90
0x00400fe0:0x00400fe4, sub_400FE0
0x00400ff0:0x00401193, sub_400FF0
0x004011a0:0x004012d2, sub_4011A0
0x004012e0:0x0040138f, sub_4012E0
0x00401390:0x00401429, sub_401390
0x00401430:0x00401afd, sub_401430
0x00401b00:0x00401b37, sub_401B00
0x00401b40:0x00401c09, sub_401B40
0x00401c10:0x00401cec, sub_401C10
0x00401cf0:0x00401e9c, sub_401CF0
0x00401ea0:0x00401f93, sub_401EA0
0x00401fa0:0x0040206f, sub_401FA0
0x00402070:0x00402175, sub_402070
0x004021c0:0x0040232e, sub_4021C0
0x00402330:0x00402c40, sub_402330
0x00402c40:0x00402ebc, sub_402C40
0x00402ec0:0x00403006, sub_402EC0
0x00403010:0x00403163, sub_403010
0x00403170:0x004031c9, sub_403170
0x004031d0:0x00403418, sub_4031D0
0x00403420:0x00403508, sub_403420
0x00403510:0x0040355b, sub_403510
0x00403560:0x00403693, sub_403560
0x00403820:0x00403ba5, sub_403820
0x00403bb0:0x00403c77, sub_403BB0
0x00403c80:0x00403cb7, sub_403C80
0x00403cc0:0x00403cdf, sub_403CC0
0x00403d10:0x00403f5d, sub_403D10
0x00403f60:0x00404b40, sub_403F60
0x00404b40:0x00404ba5, init
0x00404bb0:0x00404bb2, fini
