0x00400a60:0x00400a8a, start
0x00400a90:0x00400ac2, sub_400A90
0x00400b10:0x00400b2c, sub_400B10
0x00400b30:0x00400b56, sub_400B30
0x00400b60:0x00400c66, sub_400B60
0x00400c70:0x00400daa, main
0x00400db0:0x00400ea6, sub_400DB0
0x00400eb0:0x00400ffe, sub_400EB0
0x00401010:0x0040104e, sub_401010
0x00401050:0x00401054, sub_401050
0x00401280:0x0040137e, sub_401280
0x00401380:0x0040142b, sub_401380
0x00401430:0x00401493, sub_401430
0x004014a0:0x00401c83, sub_4014A0
0x00401c90:0x00401d5e, sub_401C90
0x00401d60:0x00401ec0, sub_401D60
0x004020d0:0x004020fc, sub_4020D0
0x00402100:0x004021ee, sub_402100
0x004021f0:0x004022ad, sub_4021F0
0x004022b0:0x004023a4, sub_4022B0
0x00402430:0x00402574, sub_402430
0x00402580:0x004033e8, sub_402580
0x004033f0:0x004039a5, sub_4033F0
0x004039b0:0x00403b44, sub_4039B0
0x00403b50:0x00403ca2, sub_403B50
0x00403cb0:0x00403cfb, sub_403CB0
0x00403d00:0x00403f08, sub_403D00
0x00403f10:0x00403fce, sub_403F10
0x00403fd0:0x00404017, sub_403FD0
0x00404020:0x00404117, sub_404020
0x00404120:0x00404488, sub_404120
0x00404490:0x004048a7, sub_404490
0x004048b0:0x00404973, sub_4048B0
0x00404980:0x0040499f, sub_404980
0x004049d0:0x00404a02, sub_4049D0
0x00404a10:0x00404ef9, sub_404A10
0x00404f00:0x004086b6, sub_404F00
0x004086c0:0x00408725, init
0x00408730:0x00408732, fini
